lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
9.999999999999994e-05,13849,,,,,,,,,
9.999999999999994e-05,13849,,,,,,,,,
9.999999999999994e-05,13849,,,,,,,,,
,13849,0.221699059009552,0.07013161480426788,0.07568755745887756,0.07405856251716614,0.001775230746716261,4.609634561347775e-05,16.0,200,
,13868,,,,,,,,200,0.9011379480361938
9.999999999999994e-05,13899,,,,,,,,,
9.999999999999994e-05,13899,,,,,,,,,
9.999999999999994e-05,13899,,,,,,,,,
,13899,0.18983381986618042,0.04862289875745773,0.07493899762630463,0.06415766477584839,0.002069416455924511,4.4854834413854405e-05,16.0,201,
,13937,,,,,,,,201,0.8959726095199585
9.999999999999994e-05,13949,,,,,,,,,
9.999999999999994e-05,13949,,,,,,,,,
9.999999999999994e-05,13949,,,,,,,,,
,13949,0.18654228746891022,0.05736052989959717,0.06732121109962463,0.06017836183309555,0.0016374769620597363,4.4700387661578134e-05,16.0,202,
9.999999999999994e-05,13999,,,,,,,,,
9.999999999999994e-05,13999,,,,,,,,,
9.999999999999994e-05,13999,,,,,,,,,
,13999,0.18988634645938873,0.050416842103004456,0.07903198152780533,0.05843359977006912,0.0019566360861063004,4.7285437176469713e-05,16.0,202,
,14006,,,,,,,,202,0.8961652517318726
9.999999999999994e-05,14049,,,,,,,,,
9.999999999999994e-05,14049,,,,,,,,,
9.999999999999994e-05,14049,,,,,,,,,
,14049,0.19599996507167816,0.06312856078147888,0.07066702097654343,0.06065173074603081,0.001509221037849784,4.342236206866801e-05,16.0,203,
,14075,,,,,,,,203,0.9018144011497498
9.999999999999994e-05,14099,,,,,,,,,
9.999999999999994e-05,14099,,,,,,,,,
9.999999999999994e-05,14099,,,,,,,,,
,14099,0.15776123106479645,0.007633553352206945,0.08644865453243256,0.06193649023771286,0.0016967244446277618,4.580428503686562e-05,16.0,204,
,14144,,,,,,,,204,0.886313259601593
9.999999999999994e-05,14149,,,,,,,,,
9.999999999999994e-05,14149,,,,,,,,,
9.999999999999994e-05,14149,,,,,,,,,
,14149,0.17562153935432434,0.04503794386982918,0.08141733705997467,0.04721692204475403,0.001902817515656352,4.6526340156560764e-05,16.0,205,
9.999999999999994e-05,14199,,,,,,,,,
9.999999999999994e-05,14199,,,,,,,,,
9.999999999999994e-05,14199,,,,,,,,,
,14199,0.17509189248085022,0.04904191195964813,0.07208001613616943,0.05242202803492546,0.001501858001574874,4.607784285326488e-05,16.0,205,
,14213,,,,,,,,205,0.8966113924980164
9.999999999999994e-05,14249,,,,,,,,,
9.999999999999994e-05,14249,,,,,,,,,
9.999999999999994e-05,14249,,,,,,,,,
,14249,0.1810968816280365,0.05967888608574867,0.06543731689453125,0.05408294498920441,0.001854624948464334,4.311272277846001e-05,16.0,206,
,14282,,,,,,,,206,0.8928941488265991
9.999999999999994e-05,14299,,,,,,,,,
9.999999999999994e-05,14299,,,,,,,,,
9.999999999999994e-05,14299,,,,,,,,,
