lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
9.999999999999994e-05,2799,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,
9.999999999999994e-05,2799,,,,,,,,
,2799,336.99029541015625,190.9559326171875,26.856433868408203,65.71385955810547,53.464088439941406,9.0,40,
,2828,,,,,,,40,4.351429462432861
9.999999999999994e-05,2849,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,
,2849,137410.890625,137391.59375,10.774900436401367,4.4311747550964355,4.085684299468994,9.0,41,
,2897,,,,,,,41,290.2159118652344
9.999999999999994e-05,2899,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,
,2899,215042.078125,214787.6875,151.58038330078125,60.52754592895508,42.28076171875,9.0,42,
9.999999999999994e-05,2949,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,
,2949,6743.876953125,1797.0665283203125,1658.1195068359375,1610.922607421875,1677.768310546875,9.0,42,
,2966,,,,,,,42,1543.7286376953125
9.999999999999994e-05,2999,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,
,2999,110821.1640625,110768.5390625,21.910314559936523,15.681880950927734,15.03309154510498,9.0,43,
,3035,,,,,,,43,2820.789306640625
9.999999999999994e-05,3049,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,
,3049,980269888.0,980072448.0,100567.2265625,53760.78125,43167.98828125,9.0,44,
9.999999999999994e-05,3099,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,
,3099,237869717258240.0,206490501644288.0,17875200901120.0,8420806623232.0,5083203371008.0,9.0,44,
,3104,,,,,,,44,6212749650558976.0
9.999999999999994e-05,3149,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,
,3149,5.7474461480875814e+26,5.7474461480875814e+26,4.5325907253379727e+18,1.435523068419113e+18,1.3641984363200512e+18,9.0,45,
,3173,,,,,,,45,4.4878906298665533e+18
9.999999999999994e-05,3199,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,
,3199,5.7523618364483435e+28,5.7523618364483435e+28,4.589390396517253e+18,1.3994100213216707e+18,1.3671305589534228e+18,9.0,46,
,3242,,,,,,,46,4.507006189271253e+18
9.999999999999994e-05,3249,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,
,3249,2.5626531038307314e+24,2.5626458980713277e+24,4.602851442498208e+18,1.4536421954111406e+18,1.0804357882288538e+18,9.0,47,
9.999999999999994e-05,3299,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,
,3299,2.101705599257564e+30,2.101705599257564e+30,4.633982464971244e+18,1.4491945334378332e+18,1.2016836083481313e+18,9.0,47,
,3311,,,,,,,47,4.506568583643398e+18
9.999999999999994e-05,3349,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,
,3349,2.5632742402913384e+24,2.5632664580711823e+24,5.354738175501664e+18,1.5059918681549046e+18,9.068965007626076e+17,9.0,48,
,3380,,,,,,,48,4.5070487953468293e+18
9.999999999999994e-05,3399,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,
,3399,5.804596876588661e+28,5.804596876588661e+28,5.341402198968369e+18,1.426957872838738e+18,1.1274753008467968e+18,9.0,49,
9.999999999999994e-05,3449,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,
,3449,2.567867191335316e+24,2.567859985575912e+24,4.5938368215399793e+18,1.4161492612208394e+18,1.2351057381755453e+18,9.0,49,
,3449,,,,,,,49,4.499438250737271e+18
9.999999999999994e-05,3499,,,,,,,,
