lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,lambda_reg,epoch,val_loss
,3949,8.952817585553051e+20,4.5925945383273366e+19,5.4933222923242255e+20,2.1586611512665755e+20,8.415749959927726e+19,10.0,1.0,57,
9.999999999999994e-05,3999,,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,,
9.999999999999994e-05,3999,,,,,,,,,
,3999,1.5069590722682713e+26,1.5069490187927511e+26,5.59212176836827e+20,2.1754330136757404e+20,2.2367827718340136e+20,10.0,1.0,57,
,4001,,,,,,,,57,5.6593707142728175e+20
9.999999999999994e-05,4049,,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,,
9.999999999999994e-05,4049,,,,,,,,,
,4049,1.7105550487400407e+25,1.7104635067725749e+25,5.5836866670036936e+20,2.167965658465467e+20,1.4085015751084946e+20,10.0,1.0,58,
,4070,,,,,,,,58,5.6590614436421566e+20
9.999999999999994e-05,4099,,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,,
9.999999999999994e-05,4099,,,,,,,,,
,4099,7.900672032055465e+23,7.891799580501575e+23,5.660982862201928e+20,2.170545728470741e+20,1.0410345856378497e+20,10.0,1.0,59,
,4139,,,,,,,,59,5.6603220996940995e+20
9.999999999999994e-05,4149,,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,,
9.999999999999994e-05,4149,,,,,,,,,
,4149,1.2180851009251868e+22,1.1335501715296383e+22,5.6306641369292603e+20,2.16641015737542e+20,6.564171938948291e+19,10.0,1.0,60,
9.999999999999994e-05,4199,,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,,
9.999999999999994e-05,4199,,,,,,,,,
,4199,8.1511780960005e+25,8.151087706954539e+25,5.53341101403852e+20,2.1727396499923403e+20,1.3149325198582455e+20,10.0,1.0,60,
,4208,,,,,,,,60,5.658897132624502e+20
9.999999999999994e-05,4249,,,,,,,,,
9.999999999999994e-05,4249,,,,,,,,,
9.999999999999994e-05,4249,,,,,,,,,
,4249,7.864892554311872e+23,7.8541163411235e+23,5.516627013020984e+20,2.1641935419338234e+20,3.095732514451693e+20,10.0,1.0,61,
,4277,,,,,,,,61,5.661618995649294e+20
9.999999999999994e-05,4299,,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,,
9.999999999999994e-05,4299,,,,,,,,,
,4299,8.1414677299201e+25,8.141358894130065e+25,5.5894808293992825e+20,2.164000907496637e+20,3.165970020921466e+20,10.0,1.0,62,
,4346,,,,,,,,62,5.659672244341619e+20
9.999999999999994e-05,4349,,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,,
9.999999999999994e-05,4349,,,,,,,,,
,4349,1.5013211938770234e+26,1.5013104025317403e+26,5.578487472340127e+20,2.174394371011678e+20,3.0203091833797476e+20,10.0,1.0,63,
9.999999999999994e-05,4399,,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,,
9.999999999999994e-05,4399,,,,,,,,,
,4399,1.7062336683564733e+25,1.7061468533671764e+25,5.6337512137363345e+20,2.169915048601049e+20,8.730782031518106e+19,10.0,1.0,63,
,4415,,,,,,,,63,5.65779128780975e+20
9.999999999999994e-05,4449,,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,,
9.999999999999994e-05,4449,,,,,,,,,
,4449,1.7102075581985521e+25,1.7101253548952737e+25,5.5999717536250095e+20,2.1714258655385433e+20,4.488110147363039e+19,10.0,1.0,64,
,4484,,,,,,,,64,5.658703970421734e+20
9.999999999999994e-05,4499,,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,,
9.999999999999994e-05,4499,,,,,,,,,
