lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
9.999999999999994e-05,2849,,,,,,,,,
9.999999999999994e-05,2849,,,,,,,,,
,2849,0.11429636925458908,0.03339047729969025,0.05496946722269058,0.012387840077280998,0.01261887140572071,0.0009297140641137958,9.0,40,
9.999999999999994e-05,2899,,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,,
9.999999999999994e-05,2899,,,,,,,,,
,2899,0.11373027414083481,0.02572973445057869,0.06475290656089783,0.013025617226958275,0.009452322497963905,0.0007697005639784038,9.0,40,
,2910,,,,,,,,40,0.03733963891863823
9.999999999999994e-05,2949,,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,,
9.999999999999994e-05,2949,,,,,,,,,
,2949,0.11959651112556458,0.03410305827856064,0.062245920300483704,0.011535115540027618,0.010885022580623627,0.0008273973362520337,9.0,41,
,2981,,,,,,,,41,0.04625902697443962
9.999999999999994e-05,2999,,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,,
9.999999999999994e-05,2999,,,,,,,,,
,2999,0.09656894207000732,0.03677745163440704,0.03598375618457794,0.012810513377189636,0.010213525965809822,0.000783695955760777,9.0,42,
9.999999999999994e-05,3049,,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,,
9.999999999999994e-05,3049,,,,,,,,,
,3049,0.13619229197502136,0.037617385387420654,0.0754958987236023,0.012744635343551636,0.009623526595532894,0.000710846739821136,9.0,42,
,3052,,,,,,,,42,0.055476196110248566
9.999999999999994e-05,3099,,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,,
9.999999999999994e-05,3099,,,,,,,,,
,3099,0.09279748797416687,0.013603173196315765,0.051281534135341644,0.015390999615192413,0.011879553087055683,0.0006422220612876117,10.0,43,
,3123,,,,,,,,43,0.0449177548289299
9.999999999999994e-05,3149,,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,,
9.999999999999994e-05,3149,,,,,,,,,
,3149,0.08497145771980286,0.029831217601895332,0.03443171828985214,0.010357297025620937,0.009775659069418907,0.0005755629390478134,10.0,44,
,3194,,,,,,,,44,0.044316548854112625
9.999999999999994e-05,3199,,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,,
9.999999999999994e-05,3199,,,,,,,,,
,3199,0.08976643532514572,0.02064078114926815,0.04777156189084053,0.011372342705726624,0.009009324945509434,0.0009724292904138565,10.0,45,
9.999999999999994e-05,3249,,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,,
9.999999999999994e-05,3249,,,,,,,,,
,3249,0.10046841949224472,0.03259759023785591,0.0439852699637413,0.011975042521953583,0.011293809860944748,0.0006167100509628654,10.0,45,
,3265,,,,,,,,45,0.04394007474184036
9.999999999999994e-05,3299,,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,,
9.999999999999994e-05,3299,,,,,,,,,
,3299,0.07206299901008606,0.012675369158387184,0.03999693691730499,0.009956808760762215,0.008850024081766605,0.000583863293286413,10.0,46,
,3336,,,,,,,,46,0.044621482491493225
9.999999999999994e-05,3349,,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,,
9.999999999999994e-05,3349,,,,,,,,,
,3349,0.07284051179885864,0.018155567348003387,0.03629337251186371,0.0094810351729393,0.008491071872413158,0.00041946620331145823,10.0,47,
9.999999999999994e-05,3399,,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,,
9.999999999999994e-05,3399,,,,,,,,,
,3399,0.07398350536823273,0.009941420517861843,0.04099854826927185,0.010967345908284187,0.011630542576313019,0.0004456458264030516,10.0,47,
,3407,,,,,,,,47,0.03967038914561272
9.999999999999994e-05,3449,,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,,
9.999999999999994e-05,3449,,,,,,,,,
,3449,0.0989917665719986,0.03051000088453293,0.046946294605731964,0.010936322622001171,0.010179885663092136,0.00041926538688130677,10.0,48,
,3478,,,,,,,,48,0.04514239728450775
9.999999999999994e-05,3499,,,,,,,,,
9.999999999999994e-05,3499,,,,,,,,,
9.999999999999994e-05,3499,,,,,,,,,
,3499,0.09755568206310272,0.03402218967676163,0.042754728347063065,0.011812545359134674,0.008563674986362457,0.00040253737824968994,10.0,49,
9.999999999999994e-05,3549,,,,,,,,,
,3549,0.07105188816785812,0.013656798750162125,0.043706752359867096,0.007240806706249714,0.006079391576349735,0.0003681402886286378,10.0,49,
,3549,,,,,,,,49,0.0418052114546299
9.999999999999994e-05,3599,,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,,
9.999999999999994e-05,3599,,,,,,,,,
,3599,0.07637722045183182,0.026236582547426224,0.029012169688940048,0.010574044659733772,0.010012340731918812,0.0005420799134299159,10.0,50,
,3620,,,,,,,,50,0.04307372123003006
9.999999999999994e-05,3649,,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,,
9.999999999999994e-05,3649,,,,,,,,,
,3649,0.07431366294622421,0.028569087386131287,0.028439421206712723,0.00903488788753748,0.007919495925307274,0.00035076928907074034,10.0,51,
,3691,,,,,,,,51,0.046002376824617386
9.999999999999994e-05,3699,,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,,
9.999999999999994e-05,3699,,,,,,,,,
,3699,0.08951304107904434,0.027714118361473083,0.04491150379180908,0.008722367696464062,0.007846894674003124,0.0003181626962032169,10.0,52,
9.999999999999994e-05,3749,,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,,
9.999999999999994e-05,3749,,,,,,,,,
,3749,0.058750052005052567,0.014327457174658775,0.030565965920686722,0.00723996851593256,0.00631584320217371,0.00030082088778726757,10.0,52,
,3762,,,,,,,,52,0.04330197721719742
9.999999999999994e-05,3799,,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,,
9.999999999999994e-05,3799,,,,,,,,,
,3799,0.05737685784697533,0.015360292978584766,0.02525913715362549,0.008855143561959267,0.0075547583401203156,0.00034752325154840946,10.0,53,
,3833,,,,,,,,53,0.03935866057872772
9.999999999999994e-05,3849,,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,,
9.999999999999994e-05,3849,,,,,,,,,
,3849,0.06367333233356476,0.019014321267604828,0.02956026792526245,0.008086463436484337,0.006754962727427483,0.0002573122037574649,10.0,54,
9.999999999999994e-05,3899,,,,,,,,,
9.999999999999994e-05,3899,,,,,,,,,
